email,label
"Dear Customer, Your account has been temporarily locked due to suspicious activity. Please verify your identity by clicking this link: http://fake-bank.com/verify-account to unlock your account. Failure to do so within 24 hours will result in permanent account closure. Best regards, Security Team",1
"Hello John, Just checking in to see if you've had a chance to review the proposal I sent last week. Let me know if you have any questions. Best, Sarah",0
"URGENT: Your PayPal account requires immediate attention! We detected unusual login attempts. Click here to secure your account: http://paypal-secure-login.com/confirm-details. Don't ignore this message or your account may be suspended.",1
"Hi team, Don't forget about our weekly meeting tomorrow at 10 AM in Conference Room B. Please bring your project updates. Thanks, Manager",0
"Tax Refund Notification: The IRS has processed your tax return and you're eligible for a $852 refund. Click http://irs-tax-refund.com/claim-now to claim your refund within 48 hours. This is your final notice.",1
"Hello, Your Amazon order #402-9987562-2994875 has shipped. Expected delivery date: Friday, May 12. Track your package here: https://amazon.com/track-order/40299875622994875 (this is a legitimate Amazon link)",0
"Security Alert: Your Microsoft account password will expire in 3 days. Renew now at http://microsoft-account-renewal.com to avoid service interruption. Microsoft Support",1
"Hi Alex, Thanks for your application to our open position. We'd like to schedule an interview for next Tuesday at 2 PM. Please confirm your availability. HR Department",0
"Your Netflix subscription has been suspended due to payment issues. Update your billing information immediately at http://netflix-billing-update.com/login to avoid service cancellation.",1
"Subject: Project Update  Hi Team,  Attached is the latest version of the project report. Please review and provide feedback by EOD Friday.  Regards,  Project Lead",0
"WARNING: Unauthorized login attempt detected on your Facebook account from a new device in Nigeria. Secure your account now: http://facebook-security-alert.com/confirm-identity",1
"Hello,  This is a reminder about your dentist appointment tomorrow at 3:30 PM. Please arrive 15 minutes early to complete paperwork.  Best,  Dental Office",0
"Your Apple ID has been locked for security reasons. Verify your account immediately at http://appleid-verification-center.com to restore access. Apple Support",1
"Hi David,  The documents you requested are attached. Let me know if you need anything else.  Cheers,  Lisa",0
"IMPORTANT: Your bank account will be deactivated within 24 hours unless you confirm your details at http://secure-bank-verification.com. This is your final warning.",1
"Hello,  Thank you for your donation to our charity. Your receipt is attached. We appreciate your support!  Sincerely,  Charity Organization",0
"Your Dropbox storage is full! Upgrade now at http://dropbox-storage-upgrade.com to avoid losing access to your files. Limited time 50% discount available.",1
"Hi Mark,  Here are the meeting notes from today's session. The action items are highlighted in yellow.  Thanks,  Team Assistant",0
"ALERT: Your Gmail account will be deleted in 48 hours due to suspicious activity. Verify your account now at http://gmail-account-protection.com to prevent deletion.",1
"Dear Valued Customer,  Your recent order has been processed and will ship within 1-2 business days. You'll receive tracking information when it ships.  Customer Service",0
